cohortId,n,cohortName,cancer_type,cancer_type_lower,subset,category
1,0,Breast_all,Breast,breast,all,total
2,0,Breast_stage0,Breast,breast,stage0,stage
3,0,Breast_stage1,Breast,breast,stage1,stage
4,0,Breast_stage2,Breast,breast,stage2,stage
5,0,Breast_stage3,Breast,breast,stage3,stage
6,0,Breast_stage4,Breast,breast,stage4,stage
7,0,Breast_ER_Positive,Breast,breast,ER_Positive,measurement
8,0,Breast_ER_Negative,Breast,breast,ER_Negative,measurement
9,0,Breast_PR_Positive,Breast,breast,PR_Positive,measurement
10,0,Breast_PR_Negative,Breast,breast,PR_Negative,measurement
11,0,Breast_HER2_Positive,Breast,breast,HER2_Positive,measurement
12,0,Breast_HER2_Negative,Breast,breast,HER2_Negative,measurement
13,0,Ovary_all,Ovary,ovary,all,total
15,0,Ovary_stage1,Ovary,ovary,stage1,stage
16,0,Ovary_stage2,Ovary,ovary,stage2,stage
17,0,Ovary_stage3,Ovary,ovary,stage3,stage
18,0,Ovary_stage4,Ovary,ovary,stage4,stage
19,0,Ovary_BRCA_mutation_BRCA1,Ovary,ovary,BRCA_mutation_BRCA1,measurement
20,0,Ovary_BRCA_mutation_BRCA2,Ovary,ovary,BRCA_mutation_BRCA2,measurement
21,0,Ovary_BRCA_mutation_No_BRCA1,Ovary,ovary,BRCA_mutation_No_BRCA1,measurement
22,0,Ovary_BRCA_mutation_No_BRCA2,Ovary,ovary,BRCA_mutation_No_BRCA2,measurement
